Name,Address,City,Province,Postal Code,Phone,Discipline,Centre Type,Association,URL,Language,Email,Established,Longitude,Latitude
"Artexte","2 rue Sainte-Catherine Est, local 301","Montréal","Québec","H2X 1K4","514-874-0049","Crafts, Film/Video, Interdisciplinary, Media and Digital Arts, Performance and Live Arts, Printmaking, Publications and Publishing, Sound Art and Music, Visual Arts","Exhibition Centre, Information Centre, Publisher","Regroupement des Centres d'Artistes Autogérés du Québec (RCAAQ)","https://artexte.ca/","FR","info@artexte.ca","","-73.5635819","45.5099144"
"Articule","6282 Saint-Hubert","Montréal","Québec","H2S 2M2","514-842-9686","Performance and Live Arts, Publications and Publishing, Visual Arts","Exhibition Centre","Regroupement des Centres d'Artistes Autogérés du Québec (RCAAQ)","https://www.articule.org/en/home","FR","info@articule.org","","-73.6011413","45.5351075"
"Arts Accessability Network Manitoba (AANM)","329 Cumberland Avenue, Unit 102","Winnipeg","Manitoba","R3B 1T2","204-336-2366","Crafts, Film/Video, Interdisciplinary, Media and Digital Arts, Performance and Live Arts, Printmaking, Publications and Publishing, Sound Art and Music, Visual Arts","Exhibition Centre, Information Centre","Manitoba Artist-Run Centres Coalition (MARCC)","https://aanm.ca/","EN","info@aanm.ca","","-97.1454395","49.8963794"
"Artspeak","233 Carrall Street","Vancouver","British Columbia","V6B 2J2","604-688-0051","Film/Video, Interdisciplinary, Media and Digital Arts, Performance and Live Arts, Publications and Publishing, Sound Art and Music, Visual Arts","Artists' Residencies, Distribution Centre, Exhibition Centre, Information Centre, Production Centre, Publisher","Pacific Association of Artist-Run Centres (PAARC)","https://www.artspeak.ca/","EN","office@artspeak.ca","","-123.1044668","49.2827902"
"ARTsPLACE Artist-Run Centre","396 St. George Street","Annapolis Royal","Nova Scotia","B0S 1A0","902-532-7069","Film/Video, Interdisciplinary, Media and Digital Arts, Performance and Live Arts, Sound Art and Music, Visual Arts","Artists' Residencies, Exhibition Centre","Association of Artist-Run Centres From the Atlantic (AARCA)","https://www.arcac.ca/","EN","artsplace@arcac.ca","","-65.5152083","44.7419424"
"Atelier Circulaire","5445 avenue De Gaspé, espace 105","Montréal","Québec","H2T 3B2","514-272-8874","Printmaking, Visual Arts","Artists' Residencies, Exhibition Centre, Production Centre","Regroupement des Centres d'Artistes Autogérés du Québec (RCAAQ)","https://ateliercirculaire.org/","FR","info@ateliercirculaire.org","","-73.5958995","45.527071"
"Atelier de l'Île","1289 rue Jean-Baptiste-Dufresne","Val-David","Québec","J0T 2N0","819-322-6359","Media and Digital Arts, Printmaking, Visual Arts","Artists' Residencies, Exhibition Centre, Production Centre, Publisher","Regroupement des Centres d'Artistes Autogérés du Québec (RCAAQ)","https://www.atelier.qc.ca/","FR","info@atelier.qc.ca","","-74.2059122","46.0297075"
"Atelier Graff","963 rue Rachel Est","Montréal","Québec","H2J 2J4","514-526-9851","","-","-","-","-","-","-","-73.5753339","45.5251259"
"Atelier Presse Papier","73, rue Saint-Antoine","Trois-Rivières","Québec","G9A 2J2","819-373-1980","Printmaking, Publications and Publishing, Visual Arts","Artists' Residencies, Exhibition Centre, Production Centre, Publisher","Regroupement des Centres d'Artistes Autogérés du Québec (RCAAQ)","https://www.pressepapier.net/","FR","presse.papier.atelier@cgocable.ca","","-72.5428485","46.3432325"
"Atelier Silex","1095, rue du Père-Frédéric","Trois-Rivières","Québec","G9A 3S5","819-379-0121","Performance and Live Arts, Visual Arts","Artists' Residencies, Exhibition Centre, Production Centre","Regroupement des Centres d'Artistes Autogérés du Québec (RCAAQ)","https://www.ateliersilex.org/","FR","info@ateliersilex.org","","-72.5428485","46.3432325"
"Ateliers D'Artistes TouTTouT","114, rue Bossé Ouest","Saguenay","Québec","G7J 1L4","418-543-5154","Film/Video, Interdisciplinary, Media and Digital Arts, Sound Art and Music, Visual Arts","Artists' Residencies, Production Centre","Regroupement des Centres d'Artistes Autogérés du Québec (RCAAQ)","-","FR","info@touttout.org","","-71.0646162","48.4289979"
"Atlantic Filmmakers Cooperative","1800 Argyle Street, Suite 303","Halifax","Nova Scotia","B3J 3N8","902-405-4474","Film/Video, Media and Digital Arts","Artists' Residencies, Exhibition Centre, Information Centre, Production Centre","Association of Artist-Run Centres From the Atlantic (AARCA), Independent Media Arts Alliance (IMAA)","https://afcoop.ca/","EN","erica@afcoop.ca","","-63.5767414","44.6482199"
"Atoll Art Actuel","150 Boulevard des Bois-Francs Nord","Victoriaville","Québec","G6P 1G1","819-758-9510","Crafts, Interdisciplinary, Media and Digital Arts, Performance and Live Arts, Sound Art and Music, Visual Arts","Artists' Residencies, Exhibition Centre","Regroupement des Centres d'Artistes Autogérés du Québec (RCAAQ)","https://www.atollartactuel.com/","FR","direction@atollartactuel.com","","-71.9559342","46.060527"
"ATSA","4430, rue Drolet","Montréal","Québec","H2W 2L8","514-844-9830","Interdisciplinary","Production Centre","Regroupement des Centres d'Artistes Autogérés du Québec (RCAAQ)","https://atsa.qc.ca/en/","FR","info@atsa.qc.ca","","-73.5698065","45.5031824"
"Axenéo7","80, rue Hanson","Gatineau","Québec","J8Y 3M5","819-771-2122","Film/Video, Interdisciplinary, Media and Digital Arts, Performance and Live Arts, Printmaking, Publications and Publishing, Sound Art and Music, Visual Arts","Artists' Residencies, Exhibition Centre","Regroupement des Centres d'Artistes Autogérés du Québec (RCAAQ)","https://axeneo7.qc.ca/","FR","axeneo7@axeneo7.qc.ca","","-75.707738","45.4646602"
"C2 Centre For Craft / Manitoba Craft Council","1–329 Cumberland Avenue","Winnipeg","Manitoba","R3B 1T2","204-615-3951","Crafts, Interdisciplinary, Visual Arts","Exhibition Centre, Information Centre","Manitoba Artist-Run Centres Coalition (MARCC)","https://c2centreforcraft.ca/","EN","mcc@c2centreforcraft.ca","","-97.154905","49.8989316"
"Centre Bang","132, rue Racine Est","Saguenay","Québec","G7H 5B5","418-543-2744","Interdisciplinary, Media and Digital Arts, Visual Arts","Artists' Residencies, Exhibition Centre, Information Centre","Regroupement des Centres d'Artistes Autogérés du Québec (RCAAQ)","https://centrebang.ca/","FR","information@centrebang.ca","","-71.0638774","48.4289197"
"Centre Des Arts Actuels Skol","372, rue Sainte Catherine Ouest, espace 314","Montréal","Québec","H3B 1A2","514-398-9322","Film/Video, Interdisciplinary, Media and Digital Arts, Performance and Live Arts, Publications and Publishing, Sound Art and Music, Visual Arts","Exhibition Centre","Regroupement des Centres d'Artistes Autogérés du Québec (RCAAQ)","https://skol.ca/en/","FR","skol@skol.ca","","-73.5672123","45.5057539"
"Centre D'Art et de Diffusion Clark","5455, avenue De Gaspé, local 114","Montréal","Québec","H2T 2A4","514-288-4972","Film/Video, Interdisciplinary, Media and Digital Arts, Printmaking, Publications and Publishing, Sound Art and Music, Visual Arts","Artists' Residencies, Exhibition Centre, Production Centre, Publisher","Regroupement des Centres d'Artistes Autogérés du Québec (RCAAQ)","https://centreclark.com/en/","FR","info@centreclark.com","","-73.5969039","45.5276306"
"Centre D'Artistes Caravansérail","274, avenue Michaud","Rimouski","Québec","G5L 6A2","418-722-0846","Interdisciplinary, Performance and Live Arts, Visual Arts","Exhibition Centre","Regroupement des Centres d'Artistes Autogérés du Québec (RCAAQ)","https://www.caravanserail.org/","FR","communication@caravanserail.org","","-68.529968","48.450155"
"Centre D'Artistes Le Lobe","114, rue Bossé","Saguenay","Québec","G7J 1L5","418-690-3182","Film/Video, Interdisciplinary, Media and Digital Arts, Performance and Live Arts, Publications and Publishing, Sound Art and Music, Visual Arts","Artists' Residencies, Exhibition Centre, Production Centre","Regroupement des Centres d'Artistes Autogérés du Québec (RCAAQ)","https://www.lelobe.com/","FR","info@lelobe.com","","-71.0646162","48.4289979"
"Centre D'Artistes Vaste et Vague","774, boulevard Perron","Carleton-sur-Mer","Québec","G0C 1J0","418-364-3123","Film/Video, Media and Digital Arts, Performance and Live Arts, Printmaking, Sound Art and Music, Visual Arts","Artists' Residencies, Exhibition Centre, Production Centre","Regroupement des Centres d'Artistes Autogérés du Québec (RCAAQ)","https://vasteetvague.ca/","FR","direction@vasteetvague.ca","","-66.1140521","48.101464"
"Centre for Art Tapes","2238 Maitland Street","Halifax","Nova Scotia","B3K 2Z9","902-422-6822","Film/Video, Media and Digital Arts, Sound Art and Music","Artists' Residencies, Production Centre","Association of Artist-Run Centres From the Atlantic (AARCA), Independent Media Arts Alliance (IMAA)","https://www.cfat.ca/","EN","executivedirector@cfat.ca","","-63.5840952","44.6531039"
"Centre Materia","395, boulevard Charest Est","Québec","Québec","G1K 3H3","418-524-0354","Crafts","Exhibition Centre, Publisher","Regroupement des Centres d'Artistes Autogérés du Québec (RCAAQ)","https://centremateria.com/","FR","info@mmaq.com","","-71.925051","46.113614"
"Centre Sagamie","50, rue Saint-Joseph, C. P. 517","Alma","Québec","G8B 5W1","418-662-7280","Printmaking, Publications and Publishing, Visual Arts","Artists' Residencies, Exhibition Centre, Production Centre, Publisher","Regroupement des Centres d'Artistes Autogérés du Québec (RCAAQ)","https://www.sagamie.com/en","FR","info@sagamie.com","","-71.651459","48.548887"
"Centre Turbine","4001, rue Berri #303","Montréal","Québec","H2L 4H2","514-606-8276","Film/Video, Interdisciplinary, Media and Digital Arts, Publications and Publishing, Sound Art and Music, Visual Arts","No Fixed Location, Production Centre","Independent Media Arts Alliance (IMAA), Regroupement des Centres d'Artistes Autogérés du Québec (RCAAQ)","https://centreturbine.org/","FR","info@centreturbine.org","","-73.5698065","45.5031824"
"CIRCA","372, rue Sainte-Catherine Ouest, local 444","Montréal","Québec","H3B 1A2","514-393-8248","Performance and Live Arts, Visual Arts","Exhibition Centre","Regroupement des Centres d'Artistes Autogérés du Québec (RCAAQ)","https://circa-art.com/en/home/","FR","circa@circa-art.com","","-73.5672123","45.5057539"
"Common Weal Community Arts INC.","#424 - 20th Street West","Saskatoon","Saskatchewan","S7M 0X4","1-306-380-4223","Interdisciplinary","Information Centre","Aboriginal Region, Plains Artist-Run Centres Association (PARCA)","https://www.commonweal.ca/","EN","drichardson@commonweal.ca","","-106.6759421","52.1264275"
"Daïmôn","78, rue Hanson","Gatineau","Québec","J8Y 3M5","819-770-8525","Film/Video, Interdisciplinary, Media and Digital Arts, Performance and Live Arts, Sound Art and Music","Artists' Residencies, Production Centre","Independent Media Arts Alliance (IMAA), Regroupement des Centres d'Artistes Autogérés du Québec (RCAAQ)","https://daimon.qc.ca/en/","FR/EN","info@daimon.qc.ca","","-75.710976","45.4277659"
"Dare-Dare Centre de Diffusion D'Art Multidisciplinaire de Montréal","2515, rue Delisle, local 311","Montréal","Québec","H3J 1K8","514-849-3273","Interdisciplinary, Performance and Live Arts, Sound Art and Music, Visual Arts","Artists' Residencies, No Fixed Location, Exhibition Centre","Regroupement des Centres d'Artistes Autogérés du Québec (RCAAQ)","https://www.dare-dare.org/en/","FR","comm@dare-dare.org","","-73.5698065","45.5031824"
"Dazibao","5455, avenue De Gaspé, espace 109","Montréal","Québec","H2T 3B3","514-845-0063","Film/Video, Media and Digital Arts, Publications and Publishing, Visual Arts","Artists' Residencies, Exhibition Centre, Publisher","Regroupement des Centres d'Artistes Autogérés du Québec (RCAAQ)","https://en.dazibao.art/","FR","info@dazibao.org","","-73.5969039","45.5276306"
"Diagonale","5455, avenue De Gaspé, espace 110","Montréal","Québec","H2T 3B3","514-524-6645","Interdisciplinary, Media and Digital Arts, Performance and Live Arts, Publications and Publishing, Sound Art and Music, Visual Arts","Exhibition Centre","Regroupement des Centres d'Artistes Autogérés du Québec (RCAAQ)","http://www.artdiagonale.org/","FR","administration@artdiagonale.org","","-73.5969039","45.5276306"
"Eastern Bloc","55 rue de Louvain Ouest, #53 & 480","Montréal","Québec","H2N 1A4","514-284-2106","Media and Digital Arts, Publications and Publishing, Sound Art and Music","Artists' Residencies, Exhibition Centre, Production Centre","Independent Media Arts Alliance (IMAA), Regroupement des Centres d'Artistes Autogérés du Québec (RCAAQ)","https://www.easternbloc.ca/","FR/EN","comm@easternbloc.ca","","-73.6557345","45.5444421"
"Eastern Edge Gallery","72 Harbour Drive, P.O. Box 2641, Station C","St. John's","Newfoundland and Labrador","A1C 6K1","709-739-1882","Crafts, Film/Video, Interdisciplinary, Media and Digital Arts, Performance and Live Arts, Printmaking, Sound Art and Music, Visual Arts","Artists' Residencies, Exhibition Centre, Information Centre","Association of Artist-Run Centres From the Atlantic (AARCA)","https://easternedge.ca/","EN","easternedgegallery@gmail.com","","-52.7057111","47.5644649"
"Engramme","501, rue Saint-Vallier Est","Québec","Québec","G1K 3P9","418-529-0972","Printmaking, Visual Arts","Artists' Residencies, Exhibition Centre, Production Centre","Regroupement des Centres d'Artistes Autogérés du Québec (RCAAQ)","https://engramme.ca/","FR","info@engramme.ca","","-71.2084061","46.8137431"
"Est-Nord-Est, Résidence D'Artistes","335, avenue De Gaspé Ouest","Saint-Jean-Port-Joli","Québec","G0R 3G0","418-598-6363","Film/Video, Interdisciplinary, Media and Digital Arts, Performance and Live Arts, Publications and Publishing, Sound Art and Music, Visual Arts","Artists' Residencies","Regroupement des Centres d'Artistes Autogérés du Québec (RCAAQ)","https://estnordest.org/","FR","info@estnordest.org","","-70.2692296","47.2144457"
"Exmuro Arts Publics","27, rue Notre-Dame","Québec","Québec","G1K 4E9","418-529-0909","Interdisciplinary, Visual Arts","No Fixed Location, Exhibition Centre","Regroupement des Centres d'Artistes Autogérés du Québec (RCAAQ)","https://exmuro.com/","FR","info@exmuro.com","","-72.6342189","45.3094845"
"Eyelevel Gallery","2482 Maynard St.","Halifax","Nova Scotia","B3K 3V4","902-425-6412","Interdisciplinary, Media and Digital Arts, Performance and Live Arts, Publications and Publishing, Sound Art and Music, Visual Arts","Artists' Residencies, No Fixed Location, Exhibition Centre, Publisher","Association of Artist-Run Centres From the Atlantic (AARCA)","http://eyelevel.art/","EN","sally@eyelevel.art","","-63.5911133","44.6546632"
"Fillip","305 Cambie Street","Vancouver","British Columbia","V6E 2N4","604-781-4417","Publications and Publishing, Visual Arts","Publisher","Pacific Association of Artist-Run Centres (PAARC)","https://fillip.ca/","EN","fillip@fillip.ca","","-123.1093554","49.2834423"
"Folie/Culture","261 rue Saint-Vallier Est","Québec","Québec","G1K 3P4","418-649-0999","Interdisciplinary, Publications and Publishing, Visual Arts","No Fixed Location, Exhibition Centre, Production Centre, Publisher","Regroupement des Centres d'Artistes Autogérés du Québec (RCAAQ)","https://folieculture.org/","FR","fc@folieculture.org","","-71.2240381","46.811879"
"Galerie B-312","372, rue Sainte-Catherine Ouest, espace 403","Montréal","Québec","H3B 1A2","514-874-9423","Film/Video, Interdisciplinary, Media and Digital Arts, Performance and Live Arts, Publications and Publishing, Sound Art and Music, Visual Arts","Exhibition Centre","Regroupement des Centres d'Artistes Autogérés du Québec (RCAAQ)","https://www.galerieb312.ca/","FR","info@galerieb312.ca","","-73.5672123","45.5057539"
"Galerie Sans Nom","140, rue Botsford, local 16 and 13","Moncton","New Brunswick","E1C 4X5","506-854-5381","Film/Video, Interdisciplinary, Media and Digital Arts, Performance and Live Arts, Printmaking, Publications and Publishing, Sound Art and Music, Visual Arts","Exhibition Centre","Association des Groupes en Arts Visuels Francophones (AGAVF), Association of Artist-Run Centres From the Atlantic (AARCA), Independent Media Arts Alliance (IMAA)","https://www.galeriesansnom.org/","FR/EN","info@galeriesansnom.org","","-64.8004265","46.0985679"
"Gallery Gachet","9 West Hastings Street","Vancouver","British Columbia","V6B 1G4","604-687-2468","Crafts, Film/Video, Interdisciplinary, Media and Digital Arts, Performance and Live Arts, Printmaking, Publications and Publishing, Sound Art and Music, Visual Arts","Exhibition Centre, Production Centre, Publisher","Independent Media Arts Alliance (IMAA), Pacific Association of Artist-Run Centres (PAARC)","https://gachet.org/","EN","contact@gachet.org","","-123.1050812","49.2817591"
"Groupe Intervention Vidéo","4001, rue Berri, local 105","Montréal","Québec","H2L 4H2","514-271-5506","Film/Video, Media and Digital Arts","Distribution Centre, Exhibition Centre, Production Centre","Independent Media Arts Alliance (IMAA), Regroupement des Centres d'Artistes Autogérés du Québec (RCAAQ)","https://www.givideo.org/","FR","info@givideo.org","","-73.5698065","45.5031824"
"Khyber Centre for The Arts","1880 Hollis St.","Halifax","Nova Scotia","B3J 1W6","902-817-6620","Visual Arts","","Association of Artist-Run Centres From the Atlantic (AARCA)","https://www.khyber.ca/","EN","info@khyber.ca","","-63.5742823","44.6500314"
"L'Imprimerie, Centre D'Artistes","3910, rue Sainte-Catherine, Est","Montréal","Québec","H1W 2G4","514-360-1244","Printmaking, Visual Arts","Artists' Residencies, Production Centre","Regroupement des Centres d'Artistes Autogérés du Québec (RCAAQ)","https://limprimerie.art/","FR/EN","art@limprimerie.art","","-73.5698065","45.5031824"
"La Bande Vidéo","541, rue Saint-Vallier Est, C. P. 2","Québec","Québec","G1K 3P9","418-522-5561","Media and Digital Arts","Artists' Residencies, Distribution Centre, Exhibition Centre, Information Centre, Production Centre","Independent Media Arts Alliance (IMAA), Regroupement des Centres d'Artistes Autogérés du Québec (RCAAQ)","http://labandevideo.com/","FR","adm@labandevideo.com","","-71.2084061","46.8137431"
"La Centrale Galeries Powerhouse","4296, boul. Saint-Laurent","Montréal","Québec","H2W 1Z3","514-871-0268","Crafts, Film/Video, Interdisciplinary, Media and Digital Arts, Performance and Live Arts, Printmaking, Publications and Publishing, Visual Arts","Artists' Residencies, Exhibition Centre, Information Centre","Regroupement des Centres d'Artistes Autogérés du Québec (RCAAQ)","https://www.lacentrale.org/","FR/EN","galerie@lacentrale.org","","-73.5698065","45.5031824"
"La Chambre Blanche","185, rue Christophe-Colomb Est","Québec","Québec","G1K 3S6","418-529-2715","Interdisciplinary, Media and Digital Arts, Visual Arts","Artists' Residencies, Distribution Centre, Exhibition Centre, Information Centre, Production Centre","Regroupement des Centres d'Artistes Autogérés du Québec (RCAAQ)","https://www.chambreblanche.qc.ca/","FR","info@chambreblanche.qc.ca","","-75.834958","45.3966321"
"La Maison Des Artistes Visuels Francophones INC. (MDA)","219, boulevard Provencher","Winnipeg","Manitoba","R2H 0G4","204-237-5964","Interdisciplinary, Performance and Live Arts, Visual Arts","Artists' Residencies, Exhibition Centre, Information Centre","Association des Groupes en Arts Visuels Francophones (AGAVF), Manitoba Artist-Run Centres Coalition (MARCC)","https://maisondesartistes.mb.ca/","FR","info@maisondesartistes.mb.ca","","-97.1384584","49.8955367"
"Language Plus","555, rue Collard, C. P. 518","Alma","Québec","G8B 1N1","418-668-6635","Film/Video, Interdisciplinary, Media and Digital Arts, Performance and Live Arts, Publications and Publishing, Sound Art and Music, Visual Arts","Artists' Residencies, Exhibition Centre","Regroupement des Centres d'Artistes Autogérés du Québec (RCAAQ)","https://www.langageplus.com/","FR","info@langageplus.com","","-71.651459","48.548887"
"Latitude 53","10130 – 100 Street","Edmonton","Alberta","T5J 0N8","780-423-5353","Interdisciplinary, Performance and Live Arts, Visual Arts","Exhibition Centre","Alberta Association of Artist-Run Centres (AAARC)","https://www.latitude53.org/","EN","info@latitude53.org","","-113.4905444","53.5419938"
"Le Lieu, Centre en Art Actuel - Les Éditions Intervention","345, rue du Pont","Québec","Québec","G1K 6M4","418-529-9680","Film/Video, Interdisciplinary, Media and Digital Arts, Performance and Live Arts, Publications and Publishing, Sound Art and Music, Visual Arts","Distribution Centre, Exhibition Centre, Information Centre, Publisher","Regroupement des Centres d'Artistes Autogérés du Québec (RCAAQ)","https://inter-lelieu.org/","FR","infos@inter-lelieu.org","","-74.268761","46.0564946"
"L'Écart - Lieu D'Art Actuel","167, avenue Murdoch, case postale 2273","Rouyn-Noranda","Québec","J9X 5A9","819-797-8738","Film/Video, Interdisciplinary, Media and Digital Arts, Performance and Live Arts, Printmaking, Publications and Publishing, Sound Art and Music, Visual Arts","Artists' Residencies, Exhibition Centre, Information Centre, Production Centre, Publisher","Regroupement des Centres d'Artistes Autogérés du Québec (RCAAQ)","https://lecart.org/fr/","FR","info@lecart.org","","-79.0205378","48.2420524"
"L’Œil de Poisson","541, rue Saint-Vallier Est","Québec","Québec","G1K 3P9","418-648-2975","Film/Video, Interdisciplinary, Media and Digital Arts, Performance and Live Arts, Printmaking, Publications and Publishing, Sound Art and Music, Visual Arts","Artists' Residencies, Distribution Centre, Exhibition Centre, Production Centre, Publisher","Regroupement des Centres d'Artistes Autogérés du Québec (RCAAQ)","https://oeildepoisson.com/","FR","info@oeildepoisson.com","","-71.2084061","46.8137431"
"Maison de L'Architecture du Québec","181, rue Saint-Antoine Ouest","Montréal","Québec","H2Z 1X8","514-868-6691","Architecture, Film/Video, Interdisciplinary, Media and Digital Arts, Performance and Live Arts, Publications and Publishing, Visual Arts","Exhibition Centre, Production Centre, Publisher","Regroupement des Centres d'Artistes Autogérés du Québec (RCAAQ)","https://maisondelarchitecture.ca/","FR","marchitectureduquebec@gmail.com","","-75.4019386","45.5479165"
"Malaspina Printmakers","1555 Duranleau Street","Vancouver","British Columbia","V6H 3S3","604-688-1724","Crafts, Film/Video, Interdisciplinary, Media and Digital Arts, Performance and Live Arts, Printmaking, Publications and Publishing, Sound Art and Music, Visual Arts","Distribution Centre, Exhibition Centre, Information Centre, Production Centre, Publisher","Pacific Association of Artist-Run Centres (PAARC)","https://www.malaspinaprintmakers.com/","EN","info@malaspinaprintmakers.com","","-123.1358202","49.2713854"
"Martha Street Studio / Manitoba Printmakers Association","11 Martha Street","Winnipeg","Manitoba","R3B 1A2","204-779-6253","Interdisciplinary, Printmaking, Publications and Publishing, Visual Arts","Exhibition Centre, Production Centre","Manitoba Artist-Run Centres Coalition (MARCC)","https://www.printmakers.mb.ca/","EN","askmartha@printmakers.mb.ca","","-97.1352109","49.900353"
"Mountain Standard Time Performative Art","#206A, 223 – 12th Ave SW","Calgary","Alberta","T2R 0G9","403-837-6678","Performance and Live Arts","Artists' Residencies, No Fixed Location, Exhibition Centre","Alberta Association of Artist-Run Centres (AAARC)","https://www.mountainstandardtime.org/","EN","info@mountainstandardtime.org","","-114.057541","51.0456064"
"Neutral Ground Artist Run Centre","1835 Scarth Street","Regina","Saskatchewan","S4P 2G9","306-522-7166","Film/Video, Interdisciplinary, Media and Digital Arts, Performance and Live Arts, Visual Arts","Exhibition Centre","Plains Artist-Run Centres Association (PARCA)","https://neutralground.sk.ca/","EN","program@neutralground.sk.ca","","-104.6104928","50.4496326"
"OBORO","4001, rue Berri, espace 301","Montréal","Québec","H2L 4H2","514-844-3250","Film/Video, Media and Digital Arts, Sound Art and Music, Visual Arts","Artists' Residencies, Exhibition Centre, Production Centre","Independent Media Arts Alliance (IMAA), Regroupement des Centres d'Artistes Autogérés du Québec (RCAAQ)","https://www.oboro.net/","FR","oboro@oboro.net","","-73.5698065","45.5031824"
"Occurence","5455, avenue De Gaspé, room 108","Montréal","Québec","H2T 3B3","514-907-4535","Film/Video, Media and Digital Arts, Publications and Publishing, Visual Arts","Exhibition Centre","Regroupement des Centres d'Artistes Autogérés du Québec (RCAAQ)","https://occurrence.ca/","FR","info@occurrence.ca","","-73.5969039","45.5276306"
"Open Space","510 Fort Street, 2nd floor","Victoria","British Columbia","V8W 1E6","250-383-8833","Film/Video, Interdisciplinary, Media and Digital Arts, Performance and Live Arts, Printmaking, Publications and Publishing, Sound Art and Music, Visual Arts","Artists' Residencies, Exhibition Centre, Production Centre, Publisher","Pacific Association of Artist-Run Centres (PAARC)","https://openspace.ca/","EN","openspace@openspace.ca","","-123.3691308","48.4252584"
"Optica, Centre D'Art Contemporain","5445, avenue de Gaspé, espace 106","Montréal","Québec","H2T 3B2","514-874-1666","Interdisciplinary, Publications and Publishing, Visual Arts","Artists' Residencies, Exhibition Centre, Information Centre, Publisher","Regroupement des Centres d'Artistes Autogérés du Québec (RCAAQ)","https://www.optica.ca/","FR","info@optica.ca","","-73.5737184","45.5520355"
"Or Gallery","236 Pender St East","Vancouver","British Columbia","V6A 1T7","604-683-7395","Interdisciplinary, Publications and Publishing, Visual Arts","Exhibition Centre, Publisher","Pacific Association of Artist-Run Centres (PAARC)","https://orgallery.org/","EN","or@orgallery.org","","-123.0987641","49.2801031"
