#,name,address,city,province,postal_code,phone
24,Atelier D'estampe Imago Inc,"Centre culturel Aberdeen, 140, rue Botsford, local 17",Moncton,New Brunswick,E1C 4X5,506-388-1431
25,Atelier Graff,963 rue Rachel Est,Montréal,Québec,H2J 2J4,514-526-9851
26,Atelier Presse Papier,"73, rue Saint-Antoine",Trois-Rivières,Québec,G9A 2J2,819-373-1980
27,Atelier Silex,"1095, rue du Père-Frédéric",Trois-Rivières,Québec,G9A 3S5,819-379-0121
28,Ateliers D'Artistes Touttout,"114, rue Bossé Ouest",Saguenay,Québec,G7J 1L4,418-543-5154
29,Atlantic Filmmakers Cooperative,"1800 Argyle Street, Suite 303",Halifax,Nova Scotia,B3J 3N8,902-405-4474
30,Atoll Art Actuel,150 Boulevard des Bois-Francs Nord,Victoriaville,Québec,G6P 1G1,819-758-9510
31,ATSA,"4430, rue Drolet",Montréal,Québec,H2W 2L8,514-844-9830
32,Avaiable Light Screening Collective,"2 Daly Avenue, Suite 121",Ottawa,Ontaria,K1N 6E2,613-883-1801
33,Avatar,"541 de Saint-Vallier Est, espace 5-62",Québec,Québec,G1K 3P9,418-522-8918
34,Axenéo7,"80, rue Hanson",Gatineau,Québec,J8Y 3M5,819-771-2122
35,C2 Centre For Craft / Manitoba Craft Council,1–329 Cumberland Avenue,Winnipeg,Manitoba,R3B 1T2,204-615-3951
36,CAFKA - Contemporary Art Forum Kitchener and Area,"141 Whitney Place, Studio 7",Kitchener,Ontaria,N2G 2X8,519-744-5123
37,Centre Bang,"132, rue Racine Est",Saguenay,Québec,G7H 5B5,418-543-2744
38,Centre Des Arts Actuels Skol,"372, rue Sainte Catherine Ouest, espace 314",Montréal,Québec,H3B 1A2,514-398-9322
39,Centre D'Art et de Diffusion Clark,"5455, avenue De Gaspé, local 114",Montréal,Québec,H2T 2A4,514-288-4972
40,Centre D'artistes Caravansérail,"274, avenue Michaud",Rimouski,Québec,G5L 6A2,418-722-0846
41,Centre D'Artistes Le Lobe,"114, rue Bossé",Saguenay,Québec,G7J 1L5,418-690-3182
42,Centre D'Artistes Vaste et Vague,"774, boulevard Perron",Carleton-sur-Mer,Québec,G0C 1J0,418-364-3123
43,Centre for Art Tapes,2238 Maitland Street,Halifax,Nova Scotia,B3K 2Z9,902-422-6822
44,Centre Materia,"395, boulevard Charest Est",Québec,Québec,G1K 3H3,418-524-0354
45,Centre Sagamie,"50, rue Saint-Joseph, C. P. 517",Alma,Québec,G8B 5W1,418-662-7280
46,Centre Turbine,"4001, rue Berri #303",Montréal,Québec,H2L 4H2,514-606-8276
47,Centre3 for Print and Media Arts,173 James Street North,Hamilton,Ontaria,L8R 2K9,905-524-5084
48,Charles Street Video,76 Geary Ave,Toronto,Ontaria,M6H 2B5,416-603-6564
49,Cineworks Independent Filmmakers' Society,300-1131 Howe Street,Vancouver,British Columbia,V6Z 2L7,604-685-3841
50,CIRCA,"372, rue Sainte-Catherine Ouest, local 444",Montréal,Québec,H3B 1A2,514-393-8248
51,Common Weal Community Arts INC.,#424 - 20th Street West,Saskatoon,Saskatchewan,S7M 0X4,1-306-380-4223
52,Connexion ARC (Artist-Run Centre for Contemporary Art),732 Charlotte Street - Room 133 (Level 1),Fredericton,New Brunswick,E3B 1C2,1-506-262-1367
53,Daïmôn,"78, rue Hanson",Gatineau,Québec,J8Y 3M5,819-770-8525
54,Dare-Dare Centre de Diffusion D'Art Multidisciplinaire de Montréal,"2515, rue Delisle, local 311",Montréal,Québec,H3J 1K8,514-849-3273
55,Dazibao,"5455, avenue De Gaspé, espace 109",Montréal,Québec,H2T 3B3,514-845-0063
56,Definitely Superior Artist-Run Centre + Gallery,"115 Cumberland Street North, P.O. Box 21015, Grandview Mall",Thunder Bay,Ontaria,P7A 4K9,1-807-344-3814
57,Diagonale,"5455, avenue De Gaspé, espace 110",Montréal,Québec,H2T 3B3,514-524-6645
58,Digital Arts Resource Centre,67 Nicholas Street,Ottawa,Ontaria,K1N 7B9,613-238-7648
59,Eastern Bloc,"55 rue de Louvain Ouest, #53 & 480",Montréal,Québec,H2N 1A4,514-284-2106
60,Eastern Edge Gallery,"72 Harbour Drive, P.O. Box 2641, Station C",St. John's,Newfoundland and Labrador,A1C 6K1,709-739-1882
61,Ed Video Media Arts Centre,46 Essex Street,Guelph,Ontaria,N1H 3K8,519-836-9811
62,Engramme,"501, rue Saint-Vallier Est",Québec,Québec,G1K 3P9,418-529-0972
63,Espace F,"102-520, avenue Saint-Jérôme",Matane,Québec,G4W 3B5,418-562-8661
64,"Est-Nord-Est, Résidence D'Artistes","335, avenue De Gaspé Ouest",Saint-Jean-Port-Joli,Québec,G0R 3G0,418-598-6363
65,Exmuro Arts Publics,"27, rue Notre-Dame",Québec,Québec,G1K 4E9,418-529-0909
66,Eyelevel Gallery,2482 Maynard St.,Halifax,Nova Scotia,B3K 3V4,902-425-6412
67,Factory Media Centre,1-366 Victoria Avenue North,Hamilton,Ontaria,L8L 5G6,905-577-9191
68,FADO Performance INC. (FADO Performance Art Centre),445-401 Richmond Street West,Toronto,Ontaria,M5V 3A8,416-822-3219
69,Fillip,305 Cambie Street,Vancouver,British Columbia,V6E 2N4,604-781-4417
70,Folie/Culture,261 rue Saint-Vallier Est,Québec,Québec,G1K 3P4,418-649-0999
71,Forest City Gallery,1025 Elias Street,London,Ontaria,N5W 3P6,226-289-4025
72,Galerie B-312,"372, rue Sainte-Catherine Ouest, espace 403",Montréal,Québec,H3B 1A2,514-874-9423
73,Galerie du Nouvel-Ontario,"27, rue Larch",Sudbury,Ontaria,P3E 1B7,705-673-4927
74,Galerie Sans Nom,"140, rue Botsford, local 16 and 13",Moncton,New Brunswick,E1C 4X5,506-854-5381
75,Gallery 101/Gallerie 101 - Arists' Centre D'Artistes INC. (G101),280 Catherine Street,Ottawa,Ontaria,K1R 5T3,613-230-2799
76,Gallery 1313,1313 Queen Street West,Toronto,Ontaria,M6K 1L8,416-536-6778
77,Gallery 44,120-401 Richmond Street West,Toronto,Ontaria,M5V 3A8,416-979-3941
78,Gallery Gachet,9 West Hastings Street,Vancouver,British Columbia,V6B 1G4,604-687-2468
79,Gallery TPW,170 St Helens Avenue,Toronto,Ontaria,M6H 4A1,416-645-1066
80,Group Intervention Vidéo,"4001, rue Berri, local 105",Montréal,Québec,H2L 4H2,514-271-5506
81,Grunt Gallery,116-350 East 2nd Avenue,Vancouver,British Columbia,V5T 4R8,604-875-9516
82,Hamilton Artists INC.,155 James Street North,Hamilton,Ontaria,L8P 4W9,905-529-3355
83,Harcourt House Artist Run Centre,"10215 112th Street, 3rd Floor",Edmonton,Alberta,T5K 1M7,780-426-4180
84,Imaginenative Film + Media Arts Festival,"401 Richmond Street West, Suite 446",Toronto,Ontaria,M5V 3A8,416-585-2333
85,Indigenous Curatorial Collective/Collectif Des Commisairs Autochtones,264 – 401 Richmond Street West,Toronto,Ontaria,M5V 3A8,-
86,Khyber Centre for The Arts,1880 Hollis St.,Halifax,Nova Scotia,B3J 1W6,902-817-6620
87,"L'Imprimerie, Centre D'Artistes","3910, rue Sainte-Catherine, Est",Montréal,Québec,H1W 2G4,514-360-1244
88,La Bande Vidéo,"541, rue Saint-Vallier Est, C. P. 2",Québec,Québec,G1K 3P9,418-522-5561
89,La Centrale Galeries Powerhouse,"4296, boul. Saint-Laurent",Montréal,Québec,H2W 1Z3,514-871-0268
90,La Chambre Blanche,"185, rue Christophe-Colomb Est",Québec,Québec,G1K 3S6,418-529-2715
91,La Maison Des Artistes Visuels Francophones INC. (MDA),"219, boulevard Provencher",Winnipeg,Manitoba,R2H 0G4,204-237-5964
92,Language Plus,"555, rue Collard, C. P. 518",Alma,Québec,G8B 1N1,418-668-6635
93,Latitude 53,10130 – 100 Street,Edmonton,Alberta,T5J 0N8,780-423-5353
94,Le Centre D'Artistes Voix Visuelle,"67, avenue Beechwood, 2e étage",Ottawa,Ontaria,K1M 1L8,613-748-6954
95,Le Laboratoire D'Art - Le Labo INC.,277-401 Richmond Street West,Toronto,Ontaria,M5V 3A8,(647) 352-4411
96,"Le Lieu, Centre en Art Actuel - Les Éditions Intervention","345, rue du Pont",Québec,Québec,G1K 6M4,418-529-9680
97,Livedspace,700-825 Pacific St.,Vancouver,British Columbia,V6Z 1C3,604-537-1636
98,L'Atelier D'Estampe la Manivelle et le Trécarré (Le Conseil des Arts de la Baie),"Université Sainte-Anne, boîte 232, 1695, Route 1",Pointe-de-l'Église,Nova Scotia,B0W 1M0,902-769-2114
99,L'Écart... Lieu D'Art Actuel,"167, avenue Murdoch, case postale 2273",Rouyn-Noranda,Québec,J9X 5A9,819-797-8738
100,L’Œil de Poisson,"541, rue Saint-Vallier Est",Québec,Québec,G1K 3P9,418-648-2975
101,Maison de L'Architecture du Québec,"181, rue Saint-Antoine Ouest",Montréal,Québec,H2Z 1X8,514-868-6691
102,Malaspina Printmakers,1555 Duranleau Street,Vancouver,British Columbia,V6H 3S3,604-688-1724
103,Martha Street Studio / Manitoba Printmakers Association,11 Martha Street,Winnipeg,Manitoba,R3B 1A2,204-779-6253
104,Mentoring Artists for Women's Art (MAWA),203 - 329 Cumberland Ave,Winnipeg,Manitoba,R3B 1T2,204-949-9490
105,"Mercer Union, A Centre for Contemporary Art",1286 Bloor Street West,Toronto,Ontaria,M6H 1N9,416-536-1519
106,Ministry of Casual Living,780 Blanshard S,Victoria,British Columbia,V8W 2H1,-
107,Modern Fuel Artist-Run Centre,#305-370 King St. W,Kingston,Ontaria,K7L 2X4,613-548-4883
108,Mountain Standard Time Performative Art,"#206A, 223 – 12th Ave SW",Calgary,Alberta,T2R 0G9,403-837-6678
109,Near North Mobile Media Lab,141 Main Street West,North Bay,Ontaria,P1B 1A8,705-845-9491
110,Neutral Ground Artist Run Centre,1835 Scarth Street,Regina,Saskatchewan,S4P 2G9,306-522-7166
111,Niagara Artists Centre,354 St. Paul Street,St. Catherines,Ontaria,L2R 3N2,905-641-0331
112,OBORO,"4001, rue Berri, espace 301",Montréal,Québec,H2L 4H2,514-844-3250
113,Occurence,"5455, avenue De Gaspé, room 108",Montréal,Québec,H2T 3B3,514-907-4535
,Okanagan Artists Alternatice Association (Alternator Centre for Contemporary Art),103-421 Cawston Avenue,Kelowna,British Columbia,V1Y 6Z1,250-868-2298
115,On Main Gallery (On The Cutting Edge Productions Society),427-268 Keefer St.,Vancouver,British Columbia,V6A 1X5,604-872-7713
116,Open Space,"510 Fort Street, 2nd floor",Victoria,British Columbia,V8W 1E6,250-383-8833
117,Open Studio,"401 Richmond Street West, Suite 104",Toronto,Ontaria,M5V 3A8,416-504-8238
118,"Optica, Centre D'Art Contemporain","5445, avenue de Gaspé, espace 106",Montréal,Québec,H2T 3B2,514-874-1666
119,Or Gallery,236 Pender St East,Vancouver,British Columbia,V6A 1T7,604-683-7395
120,Other Sights For Artists' Projects Association,-,Vancouver,British Columbia,-,604-254-5598
121,Oxygen Art Centre,3-320 Vernon Street,Nelson,British Columbia,V1L 4E4,250-352-6322
122,Panache Art Actuel,"410, avenue Évangeline",Sept-Îles,Québec,G4R 2N5,418-218-1685
123,Paved Arts,424 20th Street West,Saskatoon,Saskatchewan,S7M OX4,306-652-5502
124,Perte De Signal,"5445, avenue De Gaspé, espace 107",Montréal,Québec,H2T 3B3,514-273-4813
125,Platform Centre for Photographic + Digital Arts,121-100 Arthur Street,Winnipeg,Manitoba,R3B 1H3,204-942-8183
126,Pleasure Dome,401 Richmond Street West Suite 122,Toronto,Ontaria,M5V 3A8,-
127,Praxis Art Actuel,"37, rue Turgeon",Sainte-Thérèse,Québec,J7E 1X1,450-434-7648
128,Productions Réalisations Indépendantes de Montréal - PRIM,"2180, rue Fullum",Montréal,Québec,H2K 3N9,514-524-2421
129,Project Space,2-236 East Pender Street,Vancouver,British Columbia,V6A 1T7,-
130,Propeller Art Gallery,30 Abell Street,Toronto,Ontaria,M6J 0A9,416-504-7142
131,"Regart, Centre D'Artistes en Art Actuel",6018 Rue Saint-Laurent,Lévis,Québec,G6V 3P4,418-837-4099
132,Sâkêwêwak First Nations Artitsts' Collective INC.,201-1855 Scarth St,Regina,Alberta,S4P 2G9,306-352-0302
133,Sans-Atelier,209 Avenue D South,Saskatoon,Saskatchewan,S7M 1P8,-
134,Saskatchewan Filmpool Cooperative,301 – 1822 Scarth Street,Regina,Saskatchewan,S4P 2G3,306-757-8818
135,SAVAC (South Asian Visual Arts Centre),401 Richmond Street,Toronto,Ontaria,M5V 3A8,416-542-1661
136,SAW,"67, rue Nicholas",Ottawa,Ontaria,K1N 7B9,613-236-6181
137,Second Story Art Society O/A Truck Contemporary Art in Calgary,2009 10th Avenue Southeast,Calgary,Alberta,T3C 0K4,403-261-7702
138,SNAP (The Society of Northern Alberta Print-Artists),10572 115 St. Northwest,Edmonton,Alberta,T5N 3K6,780-423-1492
139,Spira,"541, rue Saint-Vallier Est, 4e étage",Québec,Québec,G1K 3P9,418-523-1275
140,Sporobole,"74, rue Albert",Sherbrooke,Québec,J1H 1M9,819-821-2326
141,St. Michael's Printshop,"72 Harbour Drive, 2nd Floor, P.O. Box 193, Station C",St. John's,Newfoundland and Labrador,A1C 5J2,709-754-2931
142,Stride Gallery,"625 11 Avenue SW, Unit 220",Calgary,Alberta,T2R 0E1,403-262-8507
143,Struts Gallery & Faucet Media Arts Centre,7 Lorne Street,Sackville,New Brunswick,E4L 3Z6,506-536-1211
144,The Arbour Collective,31-1595 Summit Drive,Kamloops,British Columbia,V2E 1E9,778-471-1184
145,The Bows,2001b 10th Ave. SW,Calgary,Alberta,T3C 0K4,825-994-3366
146,The Independent Filmmakers Co-operative of Ottawa INC. (IFCO),"2 Daly Avenue, Suite 140",Ottawa,Ontaria,K1N 6E2,-
147,The Indigenous Peoples' Artist Collective of Prince Albert INC. (IPAC),1010 Central Avenue,Prince Albert,Saskatchewan,S6V 4V5,306-763-8023
148,The New Gallery,208 Centre Street S,Calgary,Alberta,T2G 2B6,403-233-2399
149,The Red Head Gallery,"401 Richmond Street West, Suite 115",Toronto,Ontaria,M5V 3A8,416-504-5654
150,Third Space Gallery / Gallerie Tiers Espace,Third Space P.O. Box 20103,Saint John,New Brunswick,E2L 5B2,506-566-7434
151,This Town is Small INC.,115 Richmond Street,Charlottetown,Prince Edward Island,C1A 1H7,902-314-0772
152,Toronto Reel Asian International Film Festival,448-401 Richmond Street West,Toronto,Ontaria,M5V 3A8,416-703-9333
153,Trap/Door Artist Run Centre,-,Lethbridge,Alberta,-,-
154,"Tribe, A Centre for Evolving Aboriginal Media, Visual & Performing Arts INC.",805-601 Spadina Crescent East,Saskatoon,Saskatchewan,S7K 3G8,306-244-4814
155,UNIT/PITT,2954 West 4th Ave,Vancouver,British Columbia,V6K1R4,604-974-8689
156,Urban Shaman Contemporary Aboriginal Art Gallery,203-290 McDermot Avenue,Winnipeg,Manitoba,R3B 0T2,204-942-2674
157,VASA Gallery and Studios,25 Sir Winston Churchill Ave,St. Albert,Alberta,T8N 2S7,780-460-5990
158,Verticale - Centre D'Artistes,"412 - 397, boulevard des Prairies Ouest",Laval,Québec,H7N 2W6,450-934-6042
159,Vidéo Femmes,"291, rue Saint-Vallier Est, bureau 103",Québec,Québec,G1K 3P5,418-529-9188
160,Video Pool Media Arts Centre,221-100 Arthur Street,Winnipeg,Manitoba,R3B 1H3,204-949-9134
161,Vidéographe,4550 rue Garnier,Montréal,Québec,H2J 3S7,514-521-2116
162,VIVA! Art Action,-,Montréal,Québec,-,-
163,VIVO Media Arts Centre,2625 Kaslo Street,Vancouver,British Columbia,V5M 3G9,604-872-8337
164,Void Gallery,312 Avenue B South,Saskatoon,Saskatchewan,S7M 1M6,306-850-6545
165,"VOIX, Centre de L'Image Contemporaine","2, rue Sainte-Catherine Est, 4th floor",Montréal,Québec,H2X 1K4,514-390-0382
166,Vtape,452-401 Richmond Street West,Toronto,Ontaria,M5V 3A8,416-351-1317
167,"VU, Centre de Diffusion et de Production de la Photographie","580, Côte d’Abraham",Québec,Québec,G1K 3P9,418-640-2585
168,W2 Media,308-877 East Hastings,Vancouver,British Columbia,V6A 3Y1,-
169,Western Front Society,303 East 8th Avenue,Vancouver,British Columbia,V5T 1S1,604-876-9343
170,Whippersnapper Gallery,594b Dundas Street West,Toronto,Ontaria,M5T 1H5,-
171,White Water Gallery,159 Main Street East,North Bay,Ontaria,P1B 1A9,705-476-2444
172,Winnipeg Film Group,304-100 Arthur Street,Winnipeg,Manitoba,R3B 1H3,204-925-3456
173,Xchanges Artists' Gallery and Studios,"2333 Government Street, Suite 6E",Victoria,British Columbia,V8T 4P4,1-250-382-0442
174,Yellowknife Artist Run Community Centre,4913 50th Street,Yellowknife,Northwest Territories,X1A3X7,867-446-9099
175,YYZ Artists' Outlet,140-401 Richmond Street West,Toronto,Ontaria,M5V 3A8,416-598-4546
176,"Zocalo, Centre D'Artistes en Art Imprimé","80, rue Saint-Jean",Longueuil,Québec,J4H 2W9,450-679-5341
